"n","j","method","ISE"
100,1,"WK",0.00244587888684591
100,1,"LG",0.0014092294366346
200,1,"WK",0.00180918161665382
200,1,"LG",0.00148797642246664
100,2,"WK",0.00157057949100839
100,2,"LG",0.00172596964512661
200,2,"WK",0.00100398412438398
200,2,"LG",0.000692198615500148
100,3,"WK",0.355494801119976
100,3,"LG",0.337175194903913
200,3,"WK",0.0563161942600596
200,3,"LG",0.304824627058848
100,4,"WK",0.413784041209961
100,4,"LG",0.736796835105039
200,4,"WK",0.47632201637405
200,4,"LG",0.731223907133523
100,5,"WK",0.0221917447662657
100,5,"LG",0.417320082900502
200,5,"WK",0.219857978848077
200,5,"LG",0.333208582439884
100,6,"WK",1.92120926709726
100,6,"LG",1.27208324824258
200,6,"WK",2.12152467909024
200,6,"LG",0.0422345205183016
100,1,"WK",0.00133802113724183
100,1,"LG",0.00381379988166679
200,1,"WK",0.00119245517154185
200,1,"LG",0.00199098324818849
100,2,"WK",0.00195464580854695
100,2,"LG",0.00143164907674767
200,2,"WK",0.00084291839111724
200,2,"LG",0.00148186623766308
100,3,"WK",0.166458122022852
100,3,"LG",0.331599862486321
200,3,"WK",0.10842742709864
200,3,"LG",0.248625611163244
100,4,"WK",0.770072647686789
100,4,"LG",0.620535733103254
200,4,"WK",0.360130754479641
200,4,"LG",0.65945181989111
100,5,"WK",0.0887277338058133
100,5,"LG",0.583164622394779
200,5,"WK",0.584264064954926
200,5,"LG",0.369650890831209
100,6,"WK",1.77619643352879
100,6,"LG",0.994414212596205
200,6,"WK",2.40128492468191
200,6,"LG",1.16198282484538
100,1,"WK",0.00319900810477032
100,1,"LG",0.00355809126709971
200,1,"WK",0.00100142780958932
200,1,"LG",0.00392136141278567
100,2,"WK",0.00133045797440332
100,2,"LG",0.00155944977185597
200,2,"WK",0.000976842711101558
200,2,"LG",0.00109892760402351
100,3,"WK",0.0742769396564972
100,3,"LG",0.253517846821395
200,3,"WK",0.0529201080697257
200,3,"LG",0.323244894797749
100,4,"WK",0.565825829260557
100,4,"LG",0.548521492467536
200,4,"WK",0.182645984552336
200,4,"LG",0.722701065322407
100,5,"WK",0.646672726509537
100,5,"LG",0.262492990483421
200,5,"WK",1.24384438181681e-06
200,5,"LG",0.51612702512806
100,6,"WK",1.47120690049893
100,6,"LG",0.0580046272394016
200,6,"WK",1.68166061955408
200,6,"LG",1.35324438559982
100,1,"WK",0.00185968113388762
100,1,"LG",0.00279597226274808
200,1,"WK",0.000930133123575974
200,1,"LG",0.00184020013500725
100,2,"WK",0.00117851872209011
100,2,"LG",0.00119301747527868
200,2,"WK",0.000795762004869492
200,2,"LG",0.00128564057979539
100,3,"WK",0.161528429031212
100,3,"LG",0.289682314444012
200,3,"WK",0.0705453785518989
200,3,"LG",0.26067522359611
100,4,"WK",0.44010266423258
100,4,"LG",0.464446164270922
200,4,"WK",0.542053185834553
200,4,"LG",0.496119300271832
100,5,"WK",0.116835518780989
100,5,"LG",0.496886209259372
200,5,"WK",0.255536628177727
200,5,"LG",0.537886516130344
100,6,"WK",2.89806883928864
100,6,"LG",0.921544051821381
200,6,"WK",1.72895159610597
200,6,"LG",1.65675993411757
100,1,"WK",0.00154169187270976
100,1,"LG",0.00395247784814254
200,1,"WK",0.000696896707993147
200,1,"LG",0.00219347806674316
100,2,"WK",0.000877908465338384
100,2,"LG",0.0017586939480575
200,2,"WK",0.000895029011086804
200,2,"LG",0.00154141187130829
100,3,"WK",0.154380596183167
100,3,"LG",0.226868006524836
200,3,"WK",0.213507379120912
200,3,"LG",0.283309099425577
100,4,"WK",0.377036824620735
100,4,"LG",0.851772545777496
200,4,"WK",0.352835966116882
200,4,"LG",0.827375335218301
100,5,"WK",0.0261446993807914
100,5,"LG",0.49190625878238
200,5,"WK",0.0987311433225909
200,5,"LG",0.648496559514747
100,6,"WK",1.95167631016517
100,6,"LG",1.74963108099391
200,6,"WK",1.66670798909777
200,6,"LG",1.40674131318109
100,1,"WK",0.00167174858897687
100,1,"LG",0.00223577874319791
200,1,"WK",0.00143169283408099
200,1,"LG",0.00208703029583322
100,2,"WK",0.001356501464003
100,2,"LG",0.000930755702470372
200,2,"WK",0.000883583138985108
200,2,"LG",0.00147731420479981
100,3,"WK",0.228266601403175
100,3,"LG",0.298934055578101
200,3,"WK",0.137194840368488
200,3,"LG",0.256906807664817
100,4,"WK",0.516566295458577
100,4,"LG",0.592649261642884
200,4,"WK",0.283913835816967
200,4,"LG",0.507026146681536
100,5,"WK",0.0812865354408512
100,5,"LG",0.576949923006198
200,5,"WK",0.659803922929839
200,5,"LG",0.17797471419842
100,6,"WK",1.51508425819159
100,6,"LG",1.33275749507474
200,6,"WK",1.7395248177996
200,6,"LG",1.42512116623792
100,1,"WK",0.00121054990726422
100,1,"LG",0.00273777023396522
200,1,"WK",0.00141881863891539
200,1,"LG",0.00186173812186931
100,2,"WK",0.000184051680881225
100,2,"LG",0.00210858220669054
200,2,"WK",0.000965852370898274
200,2,"LG",0.000736990297335469
100,3,"WK",0.141554728936834
100,3,"LG",0.113194122020919
200,3,"WK",0.0845628278889468
200,3,"LG",0.0191238496648876
100,4,"WK",0.364443450809277
100,4,"LG",0.778510360029508
200,4,"WK",0.14368587311343
200,4,"LG",0.569793594501448
100,5,"WK",0.0660456153368976
100,5,"LG",0.48379345156185
200,5,"WK",0.480972701722505
200,5,"LG",0.314606575461456
100,6,"WK",1.43004946240388
100,6,"LG",1.83668000586491
200,6,"WK",2.93280136118093
200,6,"LG",1.29734014872104
100,1,"WK",0.00257424561719074
100,1,"LG",0.00403664679954759
200,1,"WK",0.00122522954077454
200,1,"LG",0.00286130632186045
100,2,"WK",0.000937511849326819
100,2,"LG",0.00144109535614309
200,2,"WK",0.000589499024517772
200,2,"LG",0.00137871609134681
100,3,"WK",0.112076219958974
100,3,"LG",0.378905295290441
200,3,"WK",0.0725060031783297
200,3,"LG",0.270138851209863
100,4,"WK",0.84785702650587
100,4,"LG",0.737530735243342
200,4,"WK",0.169618207082504
200,4,"LG",0.731418713295646
100,5,"WK",0.265345072201681
100,5,"LG",0.247920794325347
200,5,"WK",0.402104786420275
200,5,"LG",0.640316341417452
100,6,"WK",1.61871745711069
100,6,"LG",1.22320055444859
200,6,"WK",1.69889343248862
200,6,"LG",1.19876351509414
100,1,"WK",0.00174354806524559
100,1,"LG",0.00262086119803613
200,1,"WK",0.000804960926631262
200,1,"LG",0.00224917548018175
100,2,"WK",0.000855052897815435
100,2,"LG",0.000949506619967395
200,2,"WK",0.00124814570363764
200,2,"LG",0.0010811009622679
100,3,"WK",0.204441618388425
100,3,"LG",0.27839379535401
200,3,"WK",0.101688927190756
200,3,"LG",0.256441120694446
100,4,"WK",0.566599131741305
100,4,"LG",0.852225072318114
200,4,"WK",0.215086885044968
200,4,"LG",0.766197507888174
100,5,"WK",0.151793212691591
100,5,"LG",0.345782871924709
200,5,"WK",0.0316951057531049
200,5,"LG",0.50520051579246
100,6,"WK",1.48887832119965
100,6,"LG",1.61938271572425
200,6,"WK",1.7907971204232
200,6,"LG",1.88928661154028
100,1,"WK",0.00130443597567884
100,1,"LG",0.00346004156834175
200,1,"WK",0.000842178807360819
200,1,"LG",0.0017735019912415
100,2,"WK",0.00125957511434529
100,2,"LG",0.00188823490427969
200,2,"WK",0.00108955531612081
200,2,"LG",0.00142850240672412
100,3,"WK",0.157475223808401
100,3,"LG",0.000126620735417821
200,3,"WK",0.152786523640415
200,3,"LG",0.315411155870018
100,4,"WK",0.201987282864793
100,4,"LG",0.231413471690771
200,4,"WK",0.453206170045449
200,4,"LG",0.536035824341563
100,5,"WK",0.211301558193418
100,5,"LG",0.158158678507405
200,5,"WK",0.273759157341097
200,5,"LG",0.366887447057791
100,6,"WK",1.56386828881295
100,6,"LG",1.30055061533661
200,6,"WK",2.3142114798569
200,6,"LG",1.32236592761962
